,location,total_sqft,bath,price,bhk
1258,Billekahalli,1140.0,2.0,50.0,2
1259,Billekahalli,950.0,2.0,56.0,2
1260,Binny Pete,665.0,1.0,50.75,1
1261,Binny Pete,2465.0,5.0,234.0,3
1262,Binny Pete,1350.0,2.0,91.0,2
1263,Binny Pete,660.0,1.0,54.0,1
1264,Binny Pete,1516.0,3.0,147.0,3
1265,Binny Pete,660.0,1.0,62.0,1
1266,Binny Pete,1740.0,3.0,150.0,3
1267,Binny Pete,665.0,1.0,46.08,1
1268,Binny Pete,1755.0,3.0,122.0,3
1269,Binny Pete,2406.0,5.0,289.0,3
1270,Binny Pete,1795.0,3.0,139.0,3
1271,Binny Pete,1282.0,3.0,178.0,3
1272,Binny Pete,1365.0,2.0,122.0,2
1273,Binny Pete,1282.0,3.0,178.0,3
1274,Binny Pete,1245.0,2.0,86.28,2
1275,Binny Pete,1970.0,3.0,164.0,3
1276,Binny Pete,1282.0,3.0,178.0,3
1277,Binny Pete,1282.0,3.0,178.0,3
1278,Bisuvanahalli,850.0,1.0,32.0,2
1279,Bisuvanahalli,1180.0,2.0,60.0,3
1280,Bisuvanahalli,1075.0,2.0,45.0,3
1281,Bisuvanahalli,1075.0,2.0,50.0,3
1282,Bisuvanahalli,1075.0,2.0,43.0,3
1283,Bisuvanahalli,1075.0,2.0,90.0,3
1284,Bisuvanahalli,1075.0,2.0,43.0,3
1285,Bisuvanahalli,1075.0,2.0,50.0,3
1286,Bisuvanahalli,845.0,2.0,33.0,2
1287,Bisuvanahalli,845.0,2.0,33.0,2
1288,Bisuvanahalli,1075.0,2.0,46.0,3
1289,Bisuvanahalli,1075.0,2.0,44.0,3
1290,Bisuvanahalli,1075.0,2.0,45.0,3
1291,Bisuvanahalli,845.0,2.0,37.0,2
1292,Bisuvanahalli,845.0,2.0,30.0,2
1293,Bisuvanahalli,945.0,2.0,33.0,2
1294,Bisuvanahalli,1075.0,2.0,52.0,3
1295,Bisuvanahalli,1075.0,2.0,47.0,3
1296,Bisuvanahalli,1075.0,2.0,47.0,3
1297,Bisuvanahalli,1180.0,3.0,48.0,3
1298,Bisuvanahalli,1180.0,2.0,46.0,3
1299,Bisuvanahalli,1075.0,2.0,48.0,3
1300,Bisuvanahalli,1075.0,2.0,42.0,3
1301,Bisuvanahalli,1075.0,2.0,42.0,3
1302,Bisuvanahalli,1075.0,2.0,45.0,3
1303,Bisuvanahalli,845.0,2.0,37.0,2
1304,Bisuvanahalli,850.0,2.0,27.0,2
1305,Bisuvanahalli,1180.0,2.0,55.5,3
1306,Bisuvanahalli,845.0,2.0,32.0,2
1307,Bisuvanahalli,1080.0,2.0,65.0,3
1308,Bisuvanahalli,700.0,1.0,32.0,2
1309,Bisuvanahalli,1080.0,2.0,45.0,3
1310,Bisuvanahalli,845.0,2.0,29.0,2
1311,Bisuvanahalli,1075.0,2.0,52.0,3
1312,Bisuvanahalli,845.0,2.0,34.0,2
1313,Bommanahalli,520.0,1.0,19.5,1
1314,Bommanahalli,1730.0,3.0,96.0,3
1315,Bommanahalli,1625.0,2.0,87.72,3
1316,Bommanahalli,1307.0,2.0,50.0,2
1317,Bommanahalli,1110.0,2.0,33.0,2
1318,Bommanahalli,1350.0,2.0,72.0,2
1319,Bommanahalli,1290.0,2.0,73.0,2
1320,Bommanahalli,1000.0,2.0,29.9,2
1321,Bommanahalli,1050.0,2.0,46.0,2
1322,Bommanahalli,1090.0,3.0,44.0,2
1323,Bommanahalli,910.0,2.0,45.0,2
1324,Bommanahalli,1850.0,3.0,90.0,3
1325,Bommanahalli,1050.0,2.0,54.0,2
1326,Bommanahalli,957.0,2.0,53.0,2
1327,Bommanahalli,3000.0,8.0,140.0,8
1328,Bommanahalli,1416.0,2.0,85.0,3
1329,Bommanahalli,1020.0,2.0,55.0,2
1330,Bommanahalli,1091.0,2.0,40.0,2
1331,Bommanahalli,1660.0,2.0,100.0,3
1332,Bommanahalli,1355.0,2.0,73.17,2
1333,Bommanahalli,1170.0,2.0,34.0,2
1334,Bommanahalli,1200.0,2.0,40.0,2
1335,Bommanahalli,515.0,1.0,25.0,1
1336,Bommanahalli,1160.0,2.0,53.0,2
1337,Bommanahalli,2875.0,7.0,85.0,7
1338,Bommanahalli,1100.0,1.0,55.0,2
1339,Bommasandra,955.0,2.0,37.97,2
1340,Bommasandra,1014.0,2.0,35.0,2
1341,Bommasandra,1447.0,3.0,80.0,3
1342,Bommasandra,1035.0,2.0,41.43,2
1343,Bommasandra,955.0,2.0,35.28,2
1344,Bommasandra,920.0,2.0,37.46,2
1345,Bommasandra,1295.0,2.0,50.28,3
1346,Bommasandra,1000.0,2.0,35.0,2
1347,Bommasandra,1005.0,2.0,39.77,2
1348,Bommasandra,877.0,2.0,29.0,2
1349,Bommasandra,902.0,2.0,49.0,2
1350,Bommasandra,1020.0,2.0,40.89,2
1351,Bommasandra,1035.0,2.0,41.0,2
1352,Bommasandra,1015.0,2.0,40.0,2
1353,Bommasandra,1060.0,2.0,26.5,2
1354,Bommasandra,1260.0,3.0,49.36,3
1355,Bommasandra,950.0,2.0,25.0,2
1356,Bommasandra,1089.0,2.0,40.0,2
1357,Bommasandra,1365.0,3.0,53.96,3
1358,Bommasandra,1200.0,3.0,110.0,3
1359,Bommasandra,920.0,2.0,37.2,2
1360,Bommasandra,1365.0,3.0,52.81,3
1361,Bommasandra,877.0,2.0,30.0,2
1362,Bommasandra,1127.0,2.0,45.0,2
1363,Bommasandra,1034.0,2.0,40.0,2
1364,Bommasandra,1200.0,3.0,46.0,3
1365,Bommasandra,1035.0,2.0,41.73,2
1366,Bommasandra,1280.0,3.0,50.0,3
1367,Bommasandra,1365.0,3.0,52.82,3
1368,Bommasandra,1126.0,2.0,28.15,2
1369,Bommasandra,1942.0,3.0,90.0,3
1370,Bommasandra,1260.0,3.0,49.36,3
1371,Bommasandra,842.0,2.0,30.0,2
1372,Bommasandra,800.0,1.0,32.0,2
1373,Bommasandra Industrial Area,1030.0,2.0,41.0,2
1374,Bommasandra Industrial Area,1005.0,2.0,39.77,2
1375,Bommasandra Industrial Area,7000.0,2.0,135.0,2
1376,Bommasandra Industrial Area,1130.0,2.0,32.64,2
1377,Bommasandra Industrial Area,1065.0,2.0,30.75,2
1378,Bommasandra Industrial Area,1165.0,2.0,33.64,2
1379,Bommasandra Industrial Area,1200.0,3.0,45.0,2
1380,Bommasandra Industrial Area,1020.0,2.0,39.0,2
1381,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1382,Bommasandra Industrial Area,1365.0,3.0,52.81,3
1383,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1384,Bommasandra Industrial Area,1280.0,3.0,50.4,3
1385,Bommasandra Industrial Area,1160.0,2.0,33.51,2
1386,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1387,Bommasandra Industrial Area,1250.0,3.0,50.0,3
1388,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1389,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1390,Bommasandra Industrial Area,1000.0,2.0,28.88,2
1391,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1392,Bommenahalli,1200.0,3.0,125.0,3
1393,Bommenahalli,2940.0,3.0,2250.0,4
1394,Bommenahalli,1632.0,3.0,145.0,4
1395,Bommenahalli,1355.0,3.0,135.0,4
1396,Bommenahalli,1232.0,3.0,96.0,3
1397,Bommenahalli,1680.0,3.0,135.0,4
1398,Bommenahalli,1632.0,3.0,128.0,4
1399,Bommenahalli,3339.0,3.0,250.0,3
1400,Bommenahalli,1632.0,3.0,140.0,4
1401,Bommenahalli,1670.0,3.0,135.0,4
1402,Brookefield,1089.0,2.0,49.0,2
1403,Brookefield,1200.0,3.0,140.0,3
1404,Brookefield,1080.0,2.0,50.0,2
1405,Brookefield,2000.0,3.0,300.0,3
1406,Brookefield,1500.0,5.0,160.0,4
1407,Brookefield,1100.0,2.0,55.0,2
1408,Brookefield,1125.0,2.0,70.0,2
1409,Brookefield,1950.0,6.0,175.0,5
1410,Brookefield,1225.0,2.0,72.0,2
1411,Brookefield,2400.0,5.0,325.0,5
1412,Brookefield,1139.0,2.0,80.0,2
1413,Brookefield,2440.0,5.0,425.0,4
1414,Brookefield,941.0,2.0,48.0,2
1415,Brookefield,1270.0,2.0,95.0,2
1416,Brookefield,1230.0,2.0,55.0,2
1417,Brookefield,1225.0,2.0,66.5,2
1418,Brookefield,1206.0,2.0,90.0,2
1419,Brookefield,1150.0,2.0,69.0,2
1420,Brookefield,1588.0,2.0,58.0,2
1421,Brookefield,1389.0,2.0,94.0,2
1422,Brookefield,1262.0,2.0,75.0,2
1423,Brookefield,1594.0,3.0,140.0,3
1424,Brookefield,1420.0,3.0,85.0,3
1425,Brookefield,2800.0,4.0,240.0,4
1426,Brookefield,1706.0,3.0,115.0,3
1427,Brookefield,1746.0,3.0,115.0,3
1428,Brookefield,1700.0,4.0,152.0,4
1429,Brookefield,1200.0,2.0,75.0,2
1430,Brookefield,1130.0,2.0,56.0,2
1431,Brookefield,2700.0,8.0,290.0,8
1432,Brookefield,1260.0,2.0,70.0,2
1433,Brookefield,1382.0,2.0,84.5,2
1434,Brookefield,1476.0,3.0,105.0,3
1435,Brookefield,1560.0,3.0,149.0,4
1436,Brookefield,1142.0,2.0,70.0,2
1437,Budigere,1820.0,3.0,93.0,3
1438,Budigere,1153.0,2.0,60.0,2
1439,Budigere,1162.0,2.0,59.9,2
1440,Budigere,1636.0,3.0,85.0,3
1441,Budigere,1820.0,3.0,99.0,3
1442,Budigere,1139.0,2.0,72.0,2
1443,Budigere,705.0,1.0,34.545,1
1444,Budigere,664.0,1.0,35.4,1
1445,Budigere,1139.0,2.0,62.0,2
1446,Budigere,1820.0,3.0,95.5,3
1447,Budigere,1820.0,3.0,93.0,3
1448,Budigere,722.0,1.0,46.0,1
1449,Budigere,664.0,1.0,34.0,1
1450,Budigere,1636.0,3.0,85.0,3
1451,Budigere,1153.0,2.0,58.0,2
1452,Budigere,1153.0,2.0,60.0,2
1453,Budigere,1200.0,3.0,135.0,4
1454,Budigere,764.0,1.0,32.0,1
1455,Budigere,1636.0,3.0,88.0,3
1456,Budigere,1820.0,3.0,95.0,3
1457,Budigere,1149.0,2.0,65.0,2
1458,Budigere,664.0,1.0,35.0,1
1459,Budigere,1139.0,2.0,60.0,2
1460,Budigere,693.0,1.0,27.375,1
1461,Budigere,1991.0,4.0,103.0,3
1462,Budigere,1636.0,3.0,92.0,3
1463,CV Raman Nagar,1070.0,2.0,47.5,2
1464,CV Raman Nagar,1726.0,3.0,145.0,3
1465,CV Raman Nagar,1400.0,2.0,78.0,3
1466,CV Raman Nagar,1030.0,2.0,35.0,2
1467,CV Raman Nagar,1227.0,2.0,42.88,2
1468,CV Raman Nagar,705.0,1.0,57.0,1
1469,CV Raman Nagar,1070.0,2.0,55.0,2
1470,CV Raman Nagar,1230.0,3.0,47.0,2
1471,CV Raman Nagar,1285.0,2.0,65.0,2
1472,CV Raman Nagar,1980.0,4.0,180.0,3
1473,CV Raman Nagar,1392.0,2.0,110.0,2
1474,CV Raman Nagar,1051.0,2.0,61.0,2
1475,CV Raman Nagar,1835.0,3.0,160.0,3
1476,CV Raman Nagar,1198.0,2.0,60.0,2
1477,CV Raman Nagar,1392.0,2.0,98.0,2
1478,CV Raman Nagar,1100.0,2.0,58.0,2
1479,CV Raman Nagar,1310.0,2.0,62.0,2
1480,CV Raman Nagar,1400.0,2.0,78.0,3
1481,CV Raman Nagar,1020.0,2.0,55.0,2
1482,CV Raman Nagar,1590.0,2.0,85.0,3
1483,CV Raman Nagar,1120.0,2.0,55.0,2
1484,CV Raman Nagar,1980.0,4.0,166.0,3
1485,CV Raman Nagar,1000.0,2.0,38.5,2
1486,CV Raman Nagar,907.0,2.0,38.0,2
1487,CV Raman Nagar,1125.0,2.0,46.0,2
1488,CV Raman Nagar,1028.0,2.0,49.0,2
1489,CV Raman Nagar,705.0,2.0,50.0,1
1490,CV Raman Nagar,1040.0,2.0,50.0,2
1491,CV Raman Nagar,1225.0,2.0,47.88,2
1492,CV Raman Nagar,740.0,2.0,37.0,2
1493,CV Raman Nagar,1225.0,2.0,48.0,2
1494,CV Raman Nagar,1836.0,3.0,148.0,3
1495,CV Raman Nagar,1560.0,2.0,85.0,2
1496,CV Raman Nagar,1659.0,3.0,135.0,3
1497,CV Raman Nagar,1825.0,3.0,126.0,3
1498,CV Raman Nagar,1025.0,2.0,50.0,2
1499,CV Raman Nagar,1392.0,2.0,95.0,2
1500,Chamrajpet,1475.0,2.0,120.0,3
1501,Chamrajpet,730.0,1.0,52.0,2
1502,Chamrajpet,1660.4,4.0,211.0,4
1503,Chamrajpet,4050.0,7.0,1200.0,9
1504,Chamrajpet,1565.0,3.0,98.91,3
1505,Chamrajpet,505.0,1.0,85.0,1
1506,Chamrajpet,650.0,2.0,45.0,2
1507,Chamrajpet,1050.0,2.0,162.0,2
1508,Chamrajpet,1650.0,3.0,115.0,3
1509,Chamrajpet,1900.0,2.0,170.0,4
1510,Chamrajpet,1350.0,2.0,180.0,2
1511,Chamrajpet,650.0,1.0,40.0,2
1512,Chandapura,1200.0,2.0,32.0,2
1513,Chandapura,1891.0,2.0,66.165,4
1514,Chandapura,645.0,1.0,16.45,1
1515,Chandapura,520.0,1.0,14.04,1
1516,Chandapura,645.0,1.0,16.45,1
1517,Chandapura,971.0,2.0,38.0,3
1518,Chandapura,1080.0,2.0,45.0,2
1519,Chandapura,674.0,1.0,19.9,2
1520,Chandapura,1200.0,2.0,36.0,2
1521,Chandapura,1200.0,3.0,65.0,3
1522,Chandapura,1500.0,2.0,60.0,2
1523,Chandapura,876.0,2.0,28.47,2
1524,Chandapura,4800.0,4.0,250.0,4
1525,Chandapura,650.0,1.0,17.0,2
1526,Chandapura,740.0,1.0,22.0,2
1527,Chandapura,645.0,1.0,16.45,1
1528,Chandapura,1208.51,3.0,42.0,3
1529,Chandapura,1025.0,2.0,27.68,2
1530,Chandapura,520.0,1.0,14.04,1
1531,Chandapura,645.0,1.0,16.45,1
1532,Chandapura,3300.0,4.0,135.0,4
1533,Chandapura,800.0,1.0,30.0,2
1534,Chandapura,645.0,1.0,16.45,1
1535,Chandapura,450.0,1.0,9.0,1
1536,Chandapura,645.0,1.0,16.45,1
1537,Chandapura,645.0,1.0,16.45,1
1538,Chandapura,630.0,1.0,13.86,1
1539,Chandapura,778.0,2.0,25.29,2
1540,Chandapura,877.0,2.0,42.0,2
1541,Chandapura,645.0,1.0,16.45,1
1542,Chandapura,1323.0,2.0,42.0,3
1543,Chandapura,1200.0,2.0,65.0,2
1544,Chandapura,645.0,1.0,16.45,1
1545,Chandapura,1025.0,2.0,27.68,2
1546,Chandapura,800.0,2.0,25.0,2
1547,Chandapura,620.0,1.0,27.0,1
1548,Chandapura,582.5,1.0,15.135,1
1549,Chandapura,530.0,1.0,11.66,1
1550,Chandapura,630.0,1.0,27.0,2
1551,Chandapura,645.0,1.0,16.45,1
1552,Chandapura,1200.0,2.0,52.0,3
1553,Chandapura,1208.0,3.0,45.0,3
1554,Chandapura,1400.0,2.0,60.0,2
1555,Chandapura,937.0,2.0,30.0,2
1556,Chandapura,850.0,2.0,25.4,2
1557,Chandapura,1200.0,2.0,36.0,2
1558,Chandapura,1025.0,2.0,27.68,2
1559,Chandapura,1107.0,2.0,43.0,3
1560,Chandapura,1200.0,1.0,36.0,2
1561,Chandapura,590.0,1.0,13.57,1
1562,Chandapura,700.0,1.0,19.0,2
1563,Chandapura,900.0,2.0,35.0,2
1564,Chandapura,950.0,2.0,25.65,2
1565,Chandapura,1200.0,5.0,92.0,4
1566,Chandapura,876.0,2.0,29.5,2
1567,Chandapura,410.0,1.0,10.0,1
1568,Chandapura,922.0,2.0,36.0,2
1569,Chandapura,520.0,1.0,14.04,1
1570,Chandapura,1200.0,2.0,60.0,2
1571,Chandapura,645.0,1.0,16.45,1
1572,Channasandra,1030.0,2.0,34.5,2
1573,Channasandra,1115.0,2.0,33.45,2
1574,Channasandra,1065.0,2.0,36.0,2
1575,Channasandra,1065.0,2.0,40.47,2
1576,Channasandra,1175.0,2.0,38.0,2
1577,Channasandra,1200.0,2.0,46.13,2
1578,Channasandra,1500.0,4.0,89.45,4
1579,Channasandra,1093.0,2.0,34.0,2
1580,Channasandra,1050.0,2.0,44.41,2
1581,Channasandra,1195.0,2.0,56.0,3
1582,Channasandra,1500.0,3.0,61.95,3
1583,Channasandra,1093.0,2.0,37.0,2
1584,Channasandra,1115.0,2.0,35.8,2
1585,Channasandra,4278.0,7.0,299.0,7
1586,Channasandra,1340.0,2.0,48.33,3
1587,Channasandra,1104.0,2.0,35.5,2
1588,Channasandra,830.0,2.0,36.28,2
1589,Channasandra,1070.0,2.0,38.0,2
1590,Channasandra,808.0,2.0,40.0,2
1591,Channasandra,1470.0,2.0,90.0,3
1592,Channasandra,1000.0,2.0,35.0,2
1593,Channasandra,4200.0,6.0,180.0,6
1594,Channasandra,1123.0,2.0,36.0,2
1595,Channasandra,3040.0,2.0,48.0,2
1596,Channasandra,1330.0,2.0,51.83,3
1597,Channasandra,1800.0,4.0,300.0,4
1598,Channasandra,1050.0,2.0,35.0,2
1599,Channasandra,1065.0,2.0,35.0,2
1600,Channasandra,1010.0,2.0,32.0,2
1601,Channasandra,1050.0,2.0,41.0,2
1602,Channasandra,1200.0,3.0,67.77,3
1603,Channasandra,1010.0,2.0,36.0,2
1604,Channasandra,1115.0,2.0,40.0,2
1605,Channasandra,1160.0,2.0,55.0,2
1606,Channasandra,1009.0,2.0,38.34,2
1607,Channasandra,1200.0,3.0,67.77,3
1608,Chikka Tirupathi,1808.0,4.0,80.27,3
1609,Chikka Tirupathi,1616.0,3.0,95.0,3
1610,Chikka Tirupathi,2153.0,4.0,120.0,3
1611,Chikka Tirupathi,2325.0,3.0,95.0,3
1612,Chikka Tirupathi,2646.0,3.0,99.0,3
1613,Chikka Tirupathi,1555.0,3.0,100.0,3
1614,Chikka Tirupathi,2325.0,4.0,120.0,4
1615,Chikka Tirupathi,2325.0,4.0,120.0,4
1616,Chikka Tirupathi,3297.0,3.0,135.0,3
1617,Chikkabanavar,1600.0,2.0,80.0,3
1618,Chikkabanavar,600.0,1.0,25.0,2
1619,Chikkabanavar,1067.0,2.0,38.0,2
1620,Chikkabanavar,1500.0,4.0,105.0,4
1621,Chikkabanavar,2460.0,7.0,80.0,4
1622,Chikkabanavar,950.0,2.0,40.0,2
1623,Chikkabanavar,4000.0,7.0,110.0,8
1624,Chikkabanavar,1320.0,2.0,46.0,3
1625,Chikkabanavar,1200.0,4.0,130.0,4
1626,Chikkabanavar,2000.0,4.0,65.0,5
1627,Chikkabanavar,2400.0,4.0,97.0,5
1628,Chikkabanavar,1200.0,1.0,20.0,1
1629,Chikkalasandra,1230.0,2.0,48.0,2
1630,Chikkalasandra,1090.0,2.0,47.42,2
1631,Chikkalasandra,1224.0,2.0,45.0,2
1632,Chikkalasandra,1500.0,5.0,265.0,5
1633,Chikkalasandra,1428.0,2.0,80.0,3
1634,Chikkalasandra,1290.0,2.0,72.0,2
1635,Chikkalasandra,1100.0,2.0,50.0,2
1636,Chikkalasandra,1075.0,2.0,46.76,2
1637,Chikkalasandra,1070.0,2.0,42.8,2
1638,Chikkalasandra,1070.0,2.0,45.48,2
1639,Chikkalasandra,1100.0,2.0,50.0,2
1640,Chikkalasandra,1208.0,2.0,49.0,2
1641,Chikkalasandra,1070.0,2.0,50.0,2
1642,Chikkalasandra,1800.0,1.0,128.0,2
1643,Chikkalasandra,1325.0,2.0,59.0,2
1644,Chikkalasandra,875.0,2.0,52.8,2
1645,Choodasandra,3200.0,4.0,375.0,4
1646,Choodasandra,1075.0,2.0,45.0,2
1647,Choodasandra,1254.0,2.0,65.0,3
1648,Choodasandra,3204.0,4.0,395.0,3
1649,Choodasandra,900.0,4.0,155.0,3
1650,Choodasandra,2429.0,3.0,210.0,4
1651,Choodasandra,1300.0,2.0,57.0,2
1652,Choodasandra,1215.0,2.0,59.0,2
1653,Choodasandra,1115.0,2.0,50.0,2
1654,Choodasandra,1115.0,2.0,50.0,2
1655,Choodasandra,1465.0,3.0,75.0,3
1656,Choodasandra,1115.0,2.0,50.0,2
1657,Choodasandra,1180.0,2.0,71.22,2
1658,Choodasandra,1197.0,2.0,63.0,2
1659,Choodasandra,1530.0,3.0,77.0,3
1660,Choodasandra,1140.0,2.0,62.0,2
1661,Choodasandra,1115.0,2.0,50.0,2
1662,Choodasandra,1065.0,2.0,46.0,2
1663,Choodasandra,1580.0,3.0,105.0,3
1664,Choodasandra,725.0,2.0,36.0,2
1665,Choodasandra,1560.0,3.0,78.0,3
1666,Cooke Town,1700.0,3.0,120.0,3
1667,Cooke Town,2560.0,4.0,310.0,3
1668,Cooke Town,2388.0,4.0,239.0,3
1669,Cooke Town,3950.0,4.0,450.0,4
1670,Cooke Town,565.0,1.0,35.0,1
1671,Cooke Town,2043.0,6.0,375.0,5
1672,Cooke Town,1500.0,3.0,95.0,3
1673,Cooke Town,1310.0,2.0,111.0,2
1674,Cooke Town,2572.0,3.0,390.0,3
1675,Cooke Town,1850.0,3.0,110.0,3
1676,Cooke Town,2300.0,3.0,250.0,3
1677,Cooke Town,1710.0,2.0,200.0,2
1678,Cooke Town,2600.0,3.0,375.0,3
1679,Cooke Town,1100.0,2.0,90.0,2
1680,Cooke Town,1600.0,3.0,260.0,3
1681,Cox Town,1250.0,2.0,95.0,2
1682,Cox Town,605.0,1.0,29.0,1
1683,Cox Town,1600.0,3.0,150.0,3
1684,Cox Town,1073.0,2.0,72.0,2
1685,Cox Town,1495.0,2.0,300.0,4
1686,Cox Town,1280.0,2.0,120.0,2
1687,Cox Town,1000.0,2.0,58.0,2
1688,Cox Town,1200.0,2.0,140.0,2
1689,Cox Town,1100.0,2.0,166.0,2
1690,Cunningham Road,2925.0,5.0,936.0,5
1691,Cunningham Road,2880.0,3.0,560.0,3
1692,Cunningham Road,2880.0,3.0,501.0,3
1693,Cunningham Road,2700.0,3.0,501.0,3
1694,Cunningham Road,2275.0,3.0,285.0,3
1695,Cunningham Road,4170.0,3.0,800.0,3
1696,Cunningham Road,5108.0,5.0,995.0,4
1697,Cunningham Road,5270.0,4.0,1250.0,4
1698,Cunningham Road,7500.0,6.0,1800.0,4
1699,Cunningham Road,3815.0,3.0,763.0,3
1700,Cunningham Road,3875.0,3.0,800.0,3
1701,Cunningham Road,3875.0,3.0,864.0,3
1702,Cunningham Road,3489.0,3.0,662.0,3
1703,Dasanapura,708.0,1.0,28.32,1
1704,Dasanapura,1500.0,3.0,65.0,2
1705,Dasanapura,708.0,1.0,41.0,1
1706,Dasanapura,708.0,1.0,40.0,2
1707,Dasanapura,965.0,2.0,42.5,2
1708,Dasanapura,708.0,2.0,31.15,2
1709,Dasanapura,966.0,2.0,58.0,2
1710,Dasanapura,814.0,2.0,42.0,2
1711,Dasanapura,814.0,2.0,43.7,2
1712,Dasanapura,2400.0,5.0,100.0,4
1713,Dasanapura,1163.0,2.0,65.0,2
1714,Dasanapura,814.0,2.0,53.0,2
1715,Dasanapura,708.0,2.0,37.0,2
1716,Dasanapura,1286.0,2.0,68.0,3
1717,Dasarahalli,1300.0,2.0,50.0,2
1718,Dasarahalli,2400.0,3.0,150.0,7
1719,Dasarahalli,1333.0,2.0,86.65,2
1720,Dasarahalli,1220.0,2.0,52.0,2
1721,Dasarahalli,1333.0,2.0,78.56,2
1722,Dasarahalli,1295.0,2.0,65.0,2
1723,Dasarahalli,1220.0,2.0,62.0,2
1724,Dasarahalli,1901.0,3.0,119.0,3
1725,Dasarahalli,2400.0,2.0,152.0,3
1726,Dasarahalli,2100.0,3.0,120.0,3
1727,Dasarahalli,1200.0,2.0,42.0,2
1728,Dasarahalli,1150.0,2.0,70.0,2
1729,Dasarahalli,1520.0,2.0,75.0,3
1730,Dasarahalli,1160.0,2.0,49.0,2
1731,Dasarahalli,1375.0,2.0,60.0,2
1732,Dasarahalli,1300.0,2.0,55.0,2
1733,Dasarahalli,1950.0,3.0,125.0,3
1734,Devanahalli,6136.0,4.0,550.0,4
1735,Devanahalli,1174.0,2.0,59.0,2
1736,Devanahalli,1010.0,2.0,51.0,2
1737,Devanahalli,1290.0,2.0,62.0,3
1738,Devanahalli,3210.0,2.0,192.0,4
1739,Devanahalli,1075.0,2.0,52.57,1
1740,Devanahalli,5000.0,4.0,465.0,4
1741,Devanahalli,4920.0,4.0,393.5,4
1742,Devanahalli,698.5,1.0,28.57,1
1743,Devanahalli,1010.0,2.0,58.0,2
1744,Devanahalli,1466.0,3.0,77.59,3
1745,Devanahalli,775.0,1.0,39.0,1
1746,Devanahalli,1020.0,2.0,49.87,1
1747,Devanahalli,5000.0,5.0,395.0,4
1748,Devanahalli,658.0,1.0,26.91,1
1749,Devanahalli,1200.0,3.0,145.0,3
1750,Devanahalli,658.0,1.0,26.91,1
1751,Devanahalli,2125.0,3.0,107.0,3
1752,Devanahalli,658.0,1.0,34.0,1
1753,Devanahalli,1282.0,2.0,68.52,3
1754,Devanahalli,1498.0,3.0,79.15,3
1755,Devanahalli,1408.0,2.0,85.0,2
1756,Devanahalli,1200.0,1.0,95.0,1
1757,Devanahalli,6136.0,4.0,560.0,4
1758,Devanahalli,2400.0,5.0,190.0,4
1759,Devanahalli,1260.0,2.0,66.78,2
1760,Devanahalli,1600.0,3.0,180.0,3
1761,Devanahalli,1700.0,3.0,88.2,3
1762,Devanahalli,1550.0,3.0,85.0,3
1763,Devarachikkanahalli,1417.0,2.0,76.0,3
1764,Devarachikkanahalli,1130.0,2.0,36.0,2
1765,Devarachikkanahalli,1705.0,3.0,75.0,3
1766,Devarachikkanahalli,991.0,2.0,40.0,2
1767,Devarachikkanahalli,1170.0,2.0,40.0,2
1768,Devarachikkanahalli,1116.0,2.0,47.0,2
1769,Devarachikkanahalli,1230.0,2.0,58.0,2
1770,Devarachikkanahalli,947.0,2.0,43.0,2
1771,Devarachikkanahalli,1425.0,2.0,65.0,3
1772,Devarachikkanahalli,1250.0,2.0,40.0,2
1773,Devarachikkanahalli,615.0,1.0,24.0,1
1774,Devarachikkanahalli,1200.0,2.0,83.0,2
1775,Devarachikkanahalli,1200.0,3.0,160.0,3
1776,Devarachikkanahalli,1230.0,2.0,58.0,2
1777,Dodda Nekkundi,1155.0,2.0,46.0,2
1778,Dodda Nekkundi,2400.0,4.0,300.0,3
1779,Dodda Nekkundi,1200.0,2.0,71.0,2
1780,Dodda Nekkundi,1315.0,2.0,50.0,2
1781,Dodda Nekkundi,1005.0,2.0,45.0,2
1782,Dodda Nekkundi,1148.0,2.0,56.0,2
1783,Dodda Nekkundi,1100.0,2.0,48.0,2
1784,Dodda Nekkundi,1100.0,2.0,41.16,2
1785,Dodda Nekkundi,1804.0,3.0,121.0,3
1786,Dodda Nekkundi,850.0,2.0,28.0,2
1787,Dodda Nekkundi,1585.0,2.0,79.0,3
1788,Dodda Nekkundi,1080.0,2.0,50.0,2
1789,Dodda Nekkundi,1370.0,2.0,60.0,2
1790,Dodda Nekkundi,1135.0,2.0,58.0,2
1791,Dodda Nekkundi,1100.0,2.0,41.18,2
1792,Dodda Nekkundi,1128.0,2.0,45.0,2
1793,Dodda Nekkundi,1145.0,2.0,46.5,2
1794,Dodda Nekkundi,1260.0,2.0,55.0,2
1795,Dodda Nekkundi,1252.0,2.0,71.0,3
1796,Dodda Nekkundi,1100.0,2.0,41.15,2
1797,Dodda Nekkundi,1999.0,3.0,132.0,3
1798,Dodda Nekkundi,1100.0,2.0,46.75,2
1799,Dodda Nekkundi,3800.0,4.0,600.0,4
1800,Dodda Nekkundi,1390.0,2.0,60.0,2
1801,Dodda Nekkundi,1999.0,3.0,135.0,3
